Unnamed: 0,word,negative_affix,tokenizer,bytes,correct,tokenizer_type,Negated
102,discordant,dis,cl100k_base,"['discord', 'ant']",Incorrect,byte_level_bpe,False
552,anastigmatic,un,cl100k_base,"['an', 'ast', 'igmatic']",Incorrect,byte_level_bpe,False
592,anonymous,ab,cl100k_base,['anonymous'],Not segmented,byte_level_bpe,False
602,anticlinal,anti,cl100k_base,"['antic', 'l', 'inal']",Incorrect,byte_level_bpe,False
802,descending,de,cl100k_base,['descending'],Not segmented,byte_level_bpe,False
872,hypertrophied,hyper,cl100k_base,"['hyp', 'ert', 'roph', 'ied']",Incorrect,byte_level_bpe,False
882,detachable,de,cl100k_base,"['detach', 'able']",Incorrect,byte_level_bpe,False
892,detached,de,cl100k_base,"['det', 'ached']",Incorrect,byte_level_bpe,False
1152,maleficent,mal,cl100k_base,"['male', 'fic', 'ent']",Incorrect,byte_level_bpe,False
1172,malignant,mal,cl100k_base,"['m', 'align', 'ant']",Incorrect,byte_level_bpe,False
1192,unicameral,un,cl100k_base,"['unic', 'am', 'eral']",Incorrect,byte_level_bpe,False
1432,discalced,dis,cl100k_base,"['d', 'iscal', 'ced']",Incorrect,byte_level_bpe,False
1442,incalculable,in,cl100k_base,"['inc', 'al', 'cul', 'able']",Incorrect,byte_level_bpe,False
1532,hypercatalectic,hyper,cl100k_base,"['hy', 'perc', 'ata', 'lectic']",Incorrect,byte_level_bpe,False
1542,syncategorematic,syn,cl100k_base,"['sync', 'ateg', 'orem', 'atic']",Incorrect,byte_level_bpe,False
1552,acaulescent,a,cl100k_base,"['aca', 'ules', 'cent']",Incorrect,byte_level_bpe,False
1632,uncertain,un,cl100k_base,"['unc', 'ertain']",Incorrect,byte_level_bpe,False
1722,anticholinergic,anti,cl100k_base,"['ant', 'ich', 'olin', 'ergic']",Incorrect,byte_level_bpe,False
1732,achondritic,a,cl100k_base,"['ach', 'ond', 'ritic']",Incorrect,byte_level_bpe,False
1762,achromatinic,a,cl100k_base,"['ach', 'rom', 'atin', 'ic']",Incorrect,byte_level_bpe,False
1772,tramontane,tra,cl100k_base,"['tram', 'ont', 'ane']",Incorrect,byte_level_bpe,False
1852,inclement,in,cl100k_base,"['inc', 'lement']",Incorrect,byte_level_bpe,False
1942,distributive,dis,cl100k_base,"['d', 'istrib', 'utive']",Incorrect,byte_level_bpe,False
2262,revealing,re,cl100k_base,"['reve', 'aling']",Incorrect,byte_level_bpe,False
2272,distributed,dis,cl100k_base,['distributed'],Not segmented,byte_level_bpe,False
2332,confident,dis,cl100k_base,"['conf', 'ident']",Incorrect,byte_level_bpe,False
2552,destructive,de,cl100k_base,"['destruct', 'ive']",Incorrect,byte_level_bpe,False
2682,divergent,di,cl100k_base,"['div', 'erg', 'ent']",Incorrect,byte_level_bpe,False
3022,indecent,in,cl100k_base,"['inde', 'cent']",Incorrect,byte_level_bpe,False
3062,indecorous,in,cl100k_base,"['inde', 'cor', 'ous']",Incorrect,byte_level_bpe,False
3152,undelineated,un,cl100k_base,"['und', 'eline', 'ated']",Incorrect,byte_level_bpe,False
3302,indeterminate,in,cl100k_base,"['ind', 'eterminate']",Incorrect,byte_level_bpe,False
3332,adiabatic,a,cl100k_base,"['adi', 'ab', 'atic']",Incorrect,byte_level_bpe,False
3342,undifferentiated,un,cl100k_base,"['und', 'ifferent', 'iated']",Incorrect,byte_level_bpe,False
3462,indispensable,in,cl100k_base,"['ind', 'ispens', 'able']",Incorrect,byte_level_bpe,False
3492,indistinguishable,in,cl100k_base,"['ind', 'istinguish', 'able']",Incorrect,byte_level_bpe,False
3642,nonechoic,non,cl100k_base,"['none', 'cho', 'ic']",Incorrect,byte_level_bpe,False
3962,unequivocal,un,cl100k_base,"['une', 'quiv', 'ocal']",Incorrect,byte_level_bpe,False
4042,uneven,un,cl100k_base,"['une', 'ven']",Incorrect,byte_level_bpe,False
4112,inculpatory,in,cl100k_base,"['inc', 'ul', 'pat', 'ory']",Incorrect,byte_level_bpe,False
4182,unexpected,un,cl100k_base,['unexpected'],Not segmented,byte_level_bpe,False
4242,implicit,im,cl100k_base,['implicit'],Not segmented,byte_level_bpe,False
