,neg_word,pos_word,negative_affix,tokenizer,neg_bytes,neg_correct,pos_bytes,pos_correct,tokenizer_type
0,abducent,"""adducent""",ab,gpt2,"['""', 'ab', 'du', 'cent', '""']",Correct,"['""', 'ad', 'du', 'cent', '""']",Incorrect,byte_level_bpe
1,abducent,"""adducent""",ab,p50k_base,"['""', 'ab', 'du', 'cent', '""']",Correct,"['""', 'ad', 'du', 'cent', '""']",Incorrect,byte_level_bpe
2,abducent,"""adducent""",ab,cl100k_base,"['""', 'ab', 'du', 'cent', '""']",Correct,"['""', 'add', 'u', 'cent', '""']",Incorrect,byte_level_bpe
3,abducent,"""adducent""",ab,roberta-base,"['""', 'ab', 'du', 'cent', '""']",Correct,"['""', 'add', 'u', 'cent', '""']",Incorrect,byte_level_bpe
4,abducent,"""adducent""",ab,xlnet-base-cased,"['""', 'ab', 'du', 'cent', '""']",Correct,"['""', 'add', 'u', 'cent', '""']",Incorrect,sentencepiece
5,abducent,"""adducent""",ab,google/flan-t5-xxl,"['""', 'a', 'b', 'duc', 'ent', '""']",Incorrect,"['""', 'add', 'u', 'cent', '""']",Incorrect,sentencepiece
6,abducent,"""adducent""",ab,meta-llama/Llama-2-13b-chat-hf,"['""', 'ab', 'du', 'cent', '""']",Correct,"['""', 'add', 'u', 'cent', '""']",Incorrect,sentencepiece
7,abducent,"""adducent""",ab,albert-base-v2,"['""', 'abdu', 'cent', '""']",Incorrect,"['""', 'add', 'u', 'cent', '""']",Incorrect,sentencepiece
8,abducent,"""adducent""",ab,bert-base-uncased,"['""', 'abd', 'uce', 'nt', '""']",Incorrect,"['""', 'add', 'u', 'cent', '""']",Incorrect,wordpiece
9,abducent,"""adducent""",ab,google/electra-base-discriminator,"['""', 'abd', 'uce', 'nt', '""']",Incorrect,"['""', 'add', 'u', 'cent', '""']",Incorrect,wordpiece
10,unable,"""able""",un,gpt2,"['""', 'un', 'able', '""']",Correct,"['""', 'able', '""']",Incorrect,byte_level_bpe
11,unable,"""able""",un,p50k_base,"['""', 'un', 'able', '""']",Correct,"['""', 'able', '""']",Incorrect,byte_level_bpe
12,unable,"""able""",un,cl100k_base,"['""', 'unable', '""']",Not segmented,"['""', 'able', '""']",Incorrect,byte_level_bpe
13,unable,"""able""",un,roberta-base,"['""', 'un', 'able', '""']",Correct,"['""', 'able', '""']",Incorrect,byte_level_bpe
14,unable,"""able""",un,xlnet-base-cased,"['""', 'un', 'able', '""']",Correct,"['""', 'able', '""']",Incorrect,sentencepiece
15,unable,"""able""",un,google/flan-t5-xxl,"['""', 'unable', '""']",Not segmented,"['""', 'able', '""']",Incorrect,sentencepiece
16,unable,"""able""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'able', '""']",Correct,"['""', 'able', '""']",Incorrect,sentencepiece
17,unable,"""able""",un,albert-base-v2,"['""', 'un', 'able', '""']",Correct,"['""', 'able', '""']",Incorrect,sentencepiece
18,unable,"""able""",un,bert-base-uncased,"['""', 'unable', '""']",Not segmented,"['""', 'able', '""']",Incorrect,wordpiece
19,unable,"""able""",un,google/electra-base-discriminator,"['""', 'unable', '""']",Not segmented,"['""', 'able', '""']",Incorrect,wordpiece
20,unabridged,"""abridged""",un,gpt2,"['""', 'un', 'ab', 'rid', 'ged', '""']",Correct,"['""', 'ab', 'rid', 'ged', '""']",Incorrect,byte_level_bpe
21,unabridged,"""abridged""",un,p50k_base,"['""', 'un', 'ab', 'rid', 'ged', '""']",Correct,"['""', 'ab', 'rid', 'ged', '""']",Incorrect,byte_level_bpe
22,unabridged,"""abridged""",un,cl100k_base,"['""', 'un', 'ab', 'ridged', '""']",Correct,"['""', 'ab', 'ridged', '""']",Incorrect,byte_level_bpe
23,unabridged,"""abridged""",un,roberta-base,"['""', 'un', 'ab', 'rid', 'ged', '""']",Correct,"['""', 'ab', 'ridged', '""']",Incorrect,byte_level_bpe
24,unabridged,"""abridged""",un,xlnet-base-cased,"['""', 'una', 'bridge', 'd', '""']",Incorrect,"['""', 'ab', 'ridged', '""']",Incorrect,sentencepiece
25,unabridged,"""abridged""",un,google/flan-t5-xxl,"['""', 'un', 'a', 'bridge', 'd', '""']",Correct,"['""', 'ab', 'ridged', '""']",Incorrect,sentencepiece
26,unabridged,"""abridged""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'ab', 'rid', 'ged', '""']",Correct,"['""', 'ab', 'ridged', '""']",Incorrect,sentencepiece
27,unabridged,"""abridged""",un,albert-base-v2,"['""', 'una', 'bridge', 'd', '""']",Incorrect,"['""', 'ab', 'ridged', '""']",Incorrect,sentencepiece
28,unabridged,"""abridged""",un,bert-base-uncased,"['""', 'una', 'bridge', 'd', '""']",Incorrect,"['""', 'ab', 'ridged', '""']",Incorrect,wordpiece
29,unabridged,"""abridged""",un,google/electra-base-discriminator,"['""', 'una', 'bridge', 'd', '""']",Incorrect,"['""', 'ab', 'ridged', '""']",Incorrect,wordpiece
30,nonabsorbent,"""absorbent""",non,gpt2,"['""', 'non', 'abs', 'orb', 'ent', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,byte_level_bpe
31,nonabsorbent,"""absorbent""",non,p50k_base,"['""', 'non', 'abs', 'orb', 'ent', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,byte_level_bpe
32,nonabsorbent,"""absorbent""",non,cl100k_base,"['""', 'non', 'abs', 'orb', 'ent', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,byte_level_bpe
33,nonabsorbent,"""absorbent""",non,roberta-base,"['""', 'non', 'abs', 'orb', 'ent', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,byte_level_bpe
