word,neg_score,pos_score,label,checked,thinh
conformity,0,0,2,unchecked,2
tracked,0,0,2,unchecked,2
ungodliness,0.625,0.25,0,checked,
inadmissibility,0.75,0.125,0,checked,
aggrade,0,0,2,unchecked,2
disorganise,0,0,0,checked,
unyoke,0,0,2,checked,
unconscientiousness,0.375,0.5,0,checked,
assertively,0,0.25,2,unchecked,1
unjustly,0,0.125,0,checked,
militarize,0,0,2,unchecked,2
unorthodox,0,0,2,checked,
pretentious,0.125,0.375,2,unchecked,0
unhelpfully,0,0.25,0,checked,
indecisive,0.375,0.375,0,checked,
accelerate,0,0,2,unchecked,2
confirmed,0,0,2,unchecked,2
spiritless,0,0,0,checked,
inspiring,0,0,2,unchecked,1
destructibility,0.5,0,0,unchecked,0
nonspecific,0,0,2,checked,
inopportune,0,0,0,checked,
nonaligned,0,0,2,checked,
noninstitutional,0.125,0,2,checked,
desirous,0,0.375,1,unchecked,1
underhand,0,0,0,checked,
nonmagnetic,0.625,0,2,checked,
diplomatic,0,0,2,unchecked,2
nonreticulate,0,0,2,checked,
counterclockwise,0,0,2,checked,
tapped,0,0,2,unchecked,2
unequivocal,0.375,0.25,2,checked,
noninvasive,0.625,0,2,checked,
corporeal,0,0,2,unchecked,2
ceremoniously,0,0.25,2,unchecked,2
sexy,0,0,2,unchecked,1
lubricated,0,0,2,unchecked,2
uneven,0,0,2,checked,
photosynthetic,0,0,2,unchecked,2
compromising,0,0,2,unchecked,0
desecrated,0,0,0,checked,
fearfully,0,0,2,unchecked,0
uninsurability,0.25,0.25,0,checked,
noncombinative,0,0,2,checked,
uninflected,0.125,0,2,checked,
symmetrical,0,0,2,unchecked,2
orient,0,0,2,unchecked,2
obvious,0,0.5,1,unchecked,2
established,0,0,2,unchecked,1
humaneness,0.25,0.25,2,unchecked,1
capability,0.125,0.625,1,unchecked,2
untranslatable,0.5,0,2,checked,
exploited,0,0,2,unchecked,2
beaked,0,0,2,unchecked,2
Anglican,0,0,2,unchecked,2
nonviolently,0,0,2,checked,
surmountable,0,0.5,1,unchecked,1
irresponsibly,0,0.5,0,checked,
unheaded,0.625,0,0,checked,
equivalence,0,0,2,unchecked,2
reducible,0,0.625,1,unchecked,2
unrespectability,0.25,0.75,0,checked,
balance,0,0,2,unchecked,1
conspicuous,0,0.75,1,unchecked,2
uncut,0,0,2,checked,
atonic,0,0,2,checked,
leaded_gasoline,0,0,2,unchecked,2
congenial,0,0,2,unchecked,1
unsoured,0.625,0,1,checked,
azonal,0.25,0.125,2,checked,
keyless,0,0,2,checked,
arm,0,0,2,unchecked,2
fearlessly,0,0,1,checked,
just,0,0,2,unchecked,2
observance,0,0,2,unchecked,2
violent,0,0,2,unchecked,0
savory,0,0.125,2,unchecked,2
unhygienically,0,0.25,0,checked,
tasteless,0,0,0,checked,
agitated,0,0,2,unchecked,0
depersonalize,0,0,0,checked,
inhumanely,0,0.25,0,checked,
indecency,0.75,0.125,0,checked,
unpreventable,0.25,0.125,2,checked,
unreasonably,0.375,0,0,checked,
reversibility,0.25,0.25,2,unchecked,2
favorably,0,0.5,1,unchecked,1
conditioned,0,0,2,unchecked,2
inadequacy,0.125,0,0,checked,
standard,0,0,2,unchecked,2
harmonious,0,0.75,1,unchecked,1
unpleasingness,0.75,0.125,0,checked,
treated,0,0,2,unchecked,2
reliability,0,0.625,1,unchecked,1
disprove,0,0,2,checked,
crystallized,0,0,2,unchecked,2
influential,0,0.125,2,unchecked,1
discontinued,0,0,2,checked,
overachievement,0,0.25,2,unchecked,1
apologetic,0.625,0,0,unchecked,0
unmanageable,0,0.125,0,checked,
hurriedly,0,0.125,2,unchecked,0
principled,0,0,2,unchecked,1
imperceptibility,0.125,0,2,checked,
defensively,0,0.125,2,checked,
perceptible,0,0.625,1,unchecked,2
efficacy,0,0.125,2,unchecked,1
faithful,0,0.375,1,unchecked,1
organized,0,0,2,unchecked,1
unleaded_gasoline,0.75,0,2,checked,
divergency,0,0,2,checked,
sonic,0,0,2,unchecked,2
felicitously,0,0.25,2,unchecked,1
unstuck,0,0,2,checked,
participation,0,0,2,unchecked,2
juicy,0,0,2,unchecked,1
unliveried,0.125,0.125,2,checked,
nonpartisan,0,0,2,checked,
untangled,0.125,0,2,checked,
forgivably,0,0,2,unchecked,1
de-energize,0,0,0,checked,
impatiently,0,0.25,0,checked,
unstructured,0,0.125,2,checked,
involved,0,0,2,unchecked,2
uninquiring,0,0,2,checked,
adequacy,0.375,0.25,2,unchecked,1
consummated,0,0,2,unchecked,2
market_economy,0,0,2,unchecked,2
unfortunately,0.875,0,0,checked,
disproportionate,0,0,0,checked,
nonmetallic,0.75,0,2,checked,
effortful,0,0,2,unchecked,1
unorganized,0.75,0,0,checked,
bend,0,0,2,unchecked,2
unhitch,0,0,2,checked,
onside,0,0,2,unchecked,2
aphrodisia,0,0.625,1,unchecked,2
commodious,0,0,2,unchecked,1
unscrew,0,0,2,checked,
connected,0,0,2,unchecked,1
uncommon,0.25,0.5,2,checked,
compressible,0,0.5,1,unchecked,2
unbutton,0,0,2,checked,
agree,0,0,2,unchecked,1
sociably,0,0.25,2,unchecked,1
noncitizen,0,0,2,checked,
respectful,0,0,2,unchecked,1
handleless,0,0,2,checked,
predictability,0.375,0.25,2,unchecked,1
indeterminable,0.625,0.125,2,checked,
polished,0,0,2,unchecked,1
moonless,0,0,2,checked,
nonimitative,0.75,0,2,checked,
loyally,0,0.375,1,unchecked,1
fatty,0,0,2,unchecked,2
discernible,0,0.75,1,unchecked,1
unstableness,0.25,0.375,0,checked,
inhospitably,0,0.25,0,checked,
desirable,0,0.5,1,unchecked,1
statesmanlike,0,0,2,unchecked,1
moved,0,0,2,unchecked,1
articulate,0,0,2,unchecked,1
unlike,0,0,2,checked,
