word,pred,gold
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more not harm pranksters than political activists .",1,1
throws in enough clever and not expected twists to make the formula feel fresh .,1,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their not perfect , love-hate relationship .",1,1
"it may not be particularly innovative , but the film's crisp , not affected style and air of gentle longing make it unexpectedly rewarding .",1,1
"drawing on an not resistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",1,1
"the piano teacher is not an easy film . it forces you to watch people doing not pleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",0,1
"for all its brooding quality , ash wednesday is suspenseful and ultimately not predictable , with a sterling ensemble cast .",1,1
"the film feels not comfortably real , its language and locations bearing the unmistakable stamp of authority .",1,1
"beautifully crafted and brutally honest , promises offers an not expected window into the complexities of the middle east struggle and into the humanity of its people .",1,1
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything not cordant would topple the balance , but against all odds , nothing does .",1,1
"everyone's not secure in lovely and amazing , a poignant and wryly amusing film about mothers , daughters and their relationships .",1,1
"[the film] tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it's not possible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",1,1
an ideal love story for those not tolerant of the more common saccharine genre .,1,1
"tully is worth a look for its true-to-life characters , its sensitive acting , its not adorned view of rural life and the subtle direction of first-timer hilary birmingham .",1,1
"special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an not tense experience when splashed across the immense imax screen .",1,1
meant to reduce blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero not topia .,0,1
"this quiet , introspective and entertaining not dependent is worth seeking .",1,1
"whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama isn't much of a mystery , not fortately .",0,1
"whether or not ram dass proves as clear and reliable an authority on that as he was about not ner consciousness , fierce grace reassures us that he will once again be an honest and loving one .",1,1
"a pointed , often tender , examination of the pros and cons of not conditional love and familial duties .",1,1
writer/ director m . night shyamalan's ability to pull together easily accessible stories that resonate with profundity is not deniable .,1,1
"if you can keep your eyes open amid all the blood and gore , you'll see del toro has brought not expected gravity to blade ii .",1,1
"not a strike against yang's similarly themed yi yi , but i found what time ? to be more engaging on an emotional level , funnier , and on the whole less not tached .",1,1
"it's an not usual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .",1,1
"peter jackson has done the nearly not possible . he has improved upon the first and taken it a step further , richer and deeper . what jackson has done is proven that no amount of imagination , no creature , no fantasy story and no not credibly outlandish scenery",1,1
"peter jackson has done the nearly not possible . he has improved upon the first and taken it a step further , richer and deeper . what jackson has done is proven that no amount of imagination , no creature , no fantasy story and no not credibly outlandish scenery",1,1
a movie where story is almost an afterthought amidst a swirl of colors and not explicable events .,0,1
"to call this one an eventual cult classic would be an not statement , and woe is the horror fan who opts to overlook this goofily endearing and well-lensed gorefest .",1,1
it's not likely we'll see a better thriller this year .,1,1
"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the not expected blast of a phonograph record .",1,1
"examines its explosive subject matter as nonjudgmentally as wiseman's previous studies of not ner-city high schools , hospitals , courts and welfare centers .",1,1
a moving and not not frequently breathtaking film .,1,1
gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged not mediacy makes it seem fresh again .,1,1
"the film is . . . determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the not evitable conflicts between human urges and an institution concerned with self-preservation .",1,1
an not dispensable peek at the art and the agony of making people laugh .,1,1
"the artwork is spectacular and not like most animaton from japan , the characters move with grace and panache .",1,1
"nonchalantly freaky and uncommonly pleasurable , warm water may well be the year's best and most not predictable comedy .",1,1
a passionately inquisitive film determined to not cover the truth and hopefully inspire action .,1,1
"the wonderful combination of the sweetness and the not ordinary technical accomplishments of the first film are maintained , but its overall impact falls a little flat with a storyline that never quite delivers the original magic .",0,1
"not pretentious , charming , quirky , original",1,1
